timestamp,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
08/05/23,1870.41,1883.97,1810.73,1847.56,625316.6168,1.68359E+12,1157603210,885693,308193.8507,570302849.7,0
09/05/23,1847.55,1861.88,1830.99,1846.52,304396.186,1.68368E+12,561440259.8,517737,154195.2071,284409845.6,0
10/05/23,1846.53,1887.47,1790.51,1840.84,639933.3855,1.68376E+12,1182254717,802140,315762.3953,583244341.9,0
11/05/23,1840.83,1842.02,1772.68,1794.3,522096.0725,1.68385E+12,944525427,679625,256341.5035,463715175.2,0
12/05/23,1794.31,1818.63,1740,1807.45,565539.8309,1.68394E+12,1002104363,696930,272766.5815,483569849,0
13/05/23,1807.45,1817.03,1785.23,1795.11,212895.4373,1.68402E+12,383397322.7,342566,107960.5618,194416969.8,0
14/05/23,1795.12,1824,1789.82,1799.21,218101.0977,1.68411E+12,393557662.8,348092,112091.4998,202267370.4,0
15/05/23,1799.2,1846.7,1785.05,1816.2,388171.9261,1.6842E+12,708011632.2,503728,200878.5212,366433193.4,0
16/05/23,1816.21,1832.64,1796.2,1824.21,311238.6786,1.68428E+12,565367254.1,466058,145796.2684,264839999.7,0
17/05/23,1824.21,1837.5,1783.68,1822.12,352097.9913,1.68437E+12,637776970.8,524718,174614.8238,316362266.9,0
18/05/23,1822.12,1831.92,1771.12,1800.56,293755.311,1.68445E+12,531357170.8,480171,142539.4053,257898809.7,0
19/05/23,1800.56,1829.54,1796.81,1812.32,243116.4676,1.68454E+12,440291732.4,390917,125305.6452,226950073.6,0
20/05/23,1812.31,1828.87,1807.06,1819.42,127754.4349,1.68463E+12,232010582.3,272744,67168.5635,122004402.4,0
21/05/23,1819.42,1828.98,1797.21,1804.91,161517.8053,1.68471E+12,292535613.9,308391,76815.2518,139145313.6,0
22/05/23,1804.91,1828.27,1792.01,1817.35,237498.9423,1.6848E+12,430673377.9,411867,123914.6884,224774189.9,0
23/05/23,1817.36,1872.5,1815.24,1854.05,396869.6097,1.68489E+12,734581474.7,548587,222549.7769,411731244.6,0
24/05/23,1854.06,1854.09,1777.6,1799.89,420846.1445,1.68497E+12,761360360.6,554307,193455.1113,349797434.2,0
25/05/23,1799.89,1818.81,1761.41,1805.6,350633.0089,1.68506E+12,628769352.4,482899,164410.1627,294794104.4,0
26/05/23,1805.61,1838.2,1796.99,1827.79,275690.6854,1.68515E+12,501773973.9,375854,140633.1075,255923842.6,0
27/05/23,1827.8,1836.12,1812.18,1829.89,138824.9406,1.68523E+12,253710138.3,276383,69580.6479,127156321.9,0
28/05/23,1829.89,1918.65,1823.6,1908.64,378392.4371,1.68532E+12,705699886.2,549727,194805.8607,363152161.5,0
29/05/23,1908.64,1927.62,1873.65,1892.6,313593.4942,1.6854E+12,596236148.9,445895,158390.3448,301175186.4,0
30/05/23,1892.6,1917,1881.19,1900.59,272665.8402,1.68549E+12,519059196.2,422249,134288.1609,255644547.7,0
31/05/23,1900.58,1907.13,1846.95,1873.63,319255.5681,1.68558E+12,597360395.5,451133,149451.087,279624016,0
01/06/23,1873.63,1889.2,1840,1861.78,270496.6097,1.68566E+12,504448237.3,422899,132786.9324,247622735.2,0
02/06/23,1861.78,1910,1847.51,1906.68,313004.0658,1.68575E+12,591169483.1,456788,157874.0403,298230535,0
03/06/23,1906.69,1907.92,1881.6,1892.06,148818.2427,1.68584E+12,282550389.9,292512,71248.1015,135269927.9,0
04/06/23,1892.05,1914.63,1884.22,1890.01,172683.0119,1.68592E+12,328166899.1,289973,85783.1201,163026354.2,0
05/06/23,1890,1890.63,1778,1810.5,555361.2683,1.68601E+12,1017689609,688879,253634.645,464638835.8,0
06/06/23,1810.49,1898.29,1797.18,1884.64,491407.2174,1.6861E+12,907660359.4,616201,254098.0244,469823908.6,0
07/06/23,1884.65,1897.8,1821.18,1832.13,429196.7064,1.68618E+12,796856688.9,594071,201074.7993,373411267.7,0
08/06/23,1832.12,1861.28,1828.31,1845.64,189270.4853,1.68627E+12,349160385.1,347990,89218.1306,164597259.3,0
09/06/23,1845.65,1855,1827,1840.37,198324.3252,1.68636E+12,365037779.7,354623,92841.2883,170881394.3,0
10/06/23,1840.37,1844.99,1715.03,1751.53,652324.6695,1.68644E+12,1148312157,877410,298962.6533,525884490.1,0
11/06/23,1751.52,1778.25,1738.72,1752.76,219956.2434,1.68653E+12,385656546,378921,104970.1039,184058191.3,0
12/06/23,1752.77,1759.33,1720,1742.57,302132.4819,1.68661E+12,525467514.6,467392,154579.0466,268848228.2,0
13/06/23,1742.57,1770.13,1724.22,1740.12,284268.0018,1.6867E+12,495907901.7,498880,147060.3735,256562479.9,0
14/06/23,1740.12,1750.03,1630.43,1650.95,415847.327,1.68679E+12,705586390.2,572996,198035.006,335772562.7,0
15/06/23,1650.95,1680.91,1626.01,1666.96,370774.7696,1.68687E+12,611499814.5,458568,192425.5156,317419943.1,0
16/06/23,1666.96,1729.5,1649.86,1717.92,311734.5904,1.68696E+12,525393265,408176,158600.074,267168521.2,0
17/06/23,1717.91,1770,1714.26,1727.76,210914.9216,1.68705E+12,366944179.3,359758,107260.8485,186631806.8,0
18/06/23,1727.75,1747.84,1712,1720.95,156535.0128,1.68713E+12,270948973.4,273858,79223.6039,137159225.7,0
19/06/23,1720.95,1752.19,1698,1737.11,245162.7589,1.68722E+12,422827205.8,366143,120432.5942,207735564.8,0
20/06/23,1737.1,1796.99,1714.72,1791.99,328855.6846,1.68731E+12,577529266.8,459724,168345.9791,295848851.5,0
21/06/23,1791.99,1901,1787.38,1889.11,613755.8869,1.68739E+12,1132377905,699689,301882.535,557089886.1,0
22/06/23,1889.1,1933.17,1865.98,1872.01,416714.5719,1.68748E+12,791056016.1,536410,196874.686,373931527.6,0
23/06/23,1872,1936.42,1861.01,1892.63,401147.9324,1.68756E+12,760352485.3,531784,196520.6502,372600003.4,0
24/06/23,1892.63,1906,1864.77,1874.96,226910.2941,1.68765E+12,427721477.8,356654,108047.8764,203668990.5,0
25/06/23,1874.95,1930,1868.83,1898.8,338757.6158,1.68774E+12,644415530,482753,170334.2642,323870595.3,0
26/06/23,1898.8,1909.1,1837.18,1858.97,458743.861,1.68782E+12,859537162.4,518009,221834.2749,415653994.6,0
27/06/23,1858.97,1912.53,1855.19,1889.58,366634.5707,1.68791E+12,690855987,437184,195382.3664,368354695.9,0
28/06/23,1889.58,1890.19,1816.56,1828.02,337836.5792,1.688E+12,626358502.6,437585,160645.2676,297804857.1,0
29/06/23,1828.03,1880,1827.84,1851.99,241844.8281,1.68808E+12,448678322.2,350823,123194.6191,228587452.2,0
30/06/23,1851.99,1948.6,1825.01,1933.79,716538.1035,1.68817E+12,1353630453,824889,345435.6526,653049175.2,0
01/07/23,1933.8,1944.56,1909.44,1924.5,178373.3688,1.68826E+12,343093755.6,307019,88294.4703,169850518.2,0
02/07/23,1924.5,1959.2,1885.75,1937.48,255852.7832,1.68834E+12,491981843,381133,127341.9623,244921036,0
03/07/23,1937.49,1976.16,1933.55,1955.54,322102.4295,1.68843E+12,631158998.8,404084,156608.6405,306826484.7,0
04/07/23,1955.55,1967.08,1931.58,1936.2,205525.0984,1.68852E+12,401186997.2,307691,93898.5422,183304067.9,0
05/07/23,1936.19,1942.5,1894.51,1910.36,267633.4783,1.6886E+12,512774138.2,362985,128057.0596,245340739.1,0
06/07/23,1910.35,1958,1846,1846.17,456362.741,1.68869E+12,868009586.2,519031,225559.182,429043301,0
07/07/23,1846.17,1878,1826,1870.91,232944.3466,1.68877E+12,432733381.1,355260,115143.0873,213926654.2,0
08/07/23,1870.92,1876,1842.8,1865.24,125819.8273,1.68886E+12,234001180.8,228589,62592.5197,116432999.1,0
09/07/23,1865.24,1879.36,1856.15,1862.8,135046.3743,1.68895E+12,252189550.1,234925,67977.917,126943043.7,0
10/07/23,1862.81,1905.5,1846.63,1880.4,247868.1494,1.68903E+12,464186441.2,338462,123964.154,232197400.1,0
11/07/23,1880.41,1891.99,1862.38,1878.3,177771.6117,1.68912E+12,333339876.9,256360,85214.3301,159785569.1,0
12/07/23,1878.31,1902,1864.37,1871.82,264406.8673,1.68921E+12,498567734.6,338468,127657.9526,240728674.9,0
13/07/23,1871.82,2012.63,1862.59,2004.49,548861.4207,1.68929E+12,1069502144,618276,275375.0189,536826200.2,0
14/07/23,2004.49,2029.11,1898.39,1937.83,498724.0359,1.68938E+12,982369872,604687,233071.082,459199490.7,0
15/07/23,1937.82,1946.37,1926.23,1931.41,135181.7663,1.68947E+12,261553961.2,242818,65759.3938,127241697.9,0
16/07/23,1931.41,1943.55,1914,1922.11,148667.1051,1.68955E+12,286787440.5,253770,69691.9153,134478359.2,0
17/07/23,1922.12,1936.18,1873.26,1911.2,277159.0349,1.68964E+12,528662412.3,391391,134997.4387,257602038.1,0
18/07/23,1911.21,1917.19,1875.73,1897.21,215780.5006,1.68972E+12,409583830.9,315100,104433.4023,198241004.7,0
19/07/23,1897.21,1922.04,1882.17,1888.63,218045.0005,1.68981E+12,415268112.5,266831,108435.7397,206536797.5,0
20/07/23,1888.64,1929.05,1878,1891.59,292907.5164,1.6899E+12,556981450.5,353180,146238.3371,278124518.6,0
21/07/23,1891.59,1905.74,1884.64,1891.73,165554.0428,1.68998E+12,313414135.9,260385,80526.6642,152465026,0
22/07/23,1891.73,1897.35,1851.18,1866.52,131901.6487,1.69007E+12,247820592.8,240897,63386.2807,119075556.1,0
23/07/23,1866.52,1905.25,1857.82,1888.73,153501.0178,1.69016E+12,288736391.9,254227,77750.7953,146207958.8,0
24/07/23,1888.74,1890.86,1833.19,1850,276504.5547,1.69024E+12,512402907.5,336366,132903.4964,246198594.8,0
25/07/23,1850,1868.71,1845.45,1857.66,152251.21,1.69033E+12,282696600.9,248856,74772.6946,138842172.9,0
26/07/23,1857.66,1888,1848.35,1872,272090.5333,1.69042E+12,507049348.7,319851,148093.9082,275939339.6,0
27/07/23,1871.99,1886.11,1854.84,1861.28,163766.4259,1.6905E+12,306463587.4,252294,80701.93,151048244.5,0
28/07/23,1861.29,1883.39,1856.52,1874.19,138695.7147,1.69059E+12,259228467.5,219389,70493.2035,131768046.1,0
29/07/23,1874.2,1886.58,1869.54,1880.46,72867.0269,1.69068E+12,136676328.7,166385,35883.3501,67306690.35,0
30/07/23,1880.45,1885.3,1848.17,1861.79,158657.5902,1.69076E+12,296504225.2,247858,82527.463,154244296.3,0
31/07/23,1861.79,1877.4,1851.02,1856.14,168204.4534,1.69085E+12,313517086.2,246487,81667.8524,152228050.6,0
01/08/23,1856.13,1875.62,1813.8,1873.47,358476.0966,1.69093E+12,659100582.1,411508,170424.3649,313392733.8,0
02/08/23,1873.48,1879.74,1821.21,1839.9,254213.0553,1.69102E+12,470466371.3,331270,122977.5627,227628401.3,0
03/08/23,1839.9,1859.12,1826,1835.81,171148.052,1.69111E+12,315081750.4,254918,84099.073,154854420.4,0
04/08/23,1835.81,1851.31,1815.74,1830.23,187699.4552,1.69119E+12,344687096.6,256002,90965.1443,167095446,0
05/08/23,1830.24,1839,1827.5,1836.48,93657.3255,1.69128E+12,171683574,174254,46888.3941,85951801.63,0
06/08/23,1836.48,1838.58,1825.86,1830.28,90403.9915,1.69137E+12,165701947,169928,43827.8515,80334895.43,0
07/08/23,1830.28,1847,1802,1829.1,224092.9059,1.69145E+12,409166592.9,289161,109927.115,200686537.2,0
08/08/23,1829.1,1876.51,1826.33,1856.3,236336.03,1.69154E+12,436891258.6,322607,121075.1387,223753000.4,0
09/08/23,1856.3,1871.99,1846.28,1855.35,191926.8343,1.69163E+12,356559464.9,266834,93172.6895,173114071.8,0
10/08/23,1855.36,1865.95,1845.38,1852.47,127321.4553,1.69171E+12,236043286.7,208017,62527.3615,115937584.7,0
